//xなし(2)
電圧(mV)	電流(uA)
-10000.0	-1263.0
-9000.0	-1016.0
-8000.0	-793.0
-7000.0	-588.0
-6000.0	-415.0
-5500.0	-337.0
-4999.0	-267.0
-4499.0	-226.0
-3999.0	-160.0
-2999.0	-111.0
-1999.0	-73.0
-999.6	-62.0
-0.0	-48.0
0.0	-52.45
199.1	-21.37
249.0	-0.82
298.8	50.16
349.6	138.57
399.5	249.1
449.3	379.3
499.2	530.3
549.0	695.8
598.9	872.7
799.3	1666.6
999.7	2533.6
